Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Price / International,Compare At Price / International,Status
2017 Pro Bowl NFC David Johnson Blue Game Jersey,2017 Pro Bowl NFC David Johnson Blue Game Jersey,"<div aria-labelledby=""tab-title-description"" role=""tabpanel"" id=""tab-description"" class=""woocommerce-Tabs-panel woocommerce-Tabs-panel--description panel entry-content wc-tab"">
<h2>Description</h2>
<div>
<p>Rock this NFC David Johnson 2017 Pro Bowl Jersey to watch David Johnson take on the competition. With vibrant NFC graphics, the pro bowl patch and your player’s number and name, this 2017 pro bowl jersey will let everyone know who you cheer for! Get the look of a hardcore football fan and ready for 2017 Pro Bowl Game with this special jersey.</p>
<h3>2017 Pro Bowl NFC David Johnson Blue Game Jersey</h3>
<li>Material: 100% Recycled Polyester</li>
<li>America Football shield at collar</li>
<li>Mesh side panels for extra breathability</li>
<li>Screen print name, numbers and logos</li>
<li>Satin twill woven jock tag</li>
<li>Tailored designed for movement</li>
<li>Tagless collar</li>
<li>Officially licensed</li>
<li>Imported</li>
</div>
</div>",sportsupply,,Football Jerseys,David Johnson,TRUE,Size,S,Color,Black,,,ppro-id-33711-1,0,shopify,50,continue,manual,53.99,63.99,TRUE,FALSE,,https://cdn.shopify.com/s/files/1/0671/5768/8628/files/david-johnson-navy-nfc-2017-pro-bowl-jersey-500x500-pro-id-33711.jpg?v=1666840370,1,,FALSE,,,,,,,,,,,,,,,,,kg,,,,,active
2017 Pro Bowl NFC David Johnson Blue Game Jersey,,,,,,,,,S,,Blue,,,ppro-id-33711-2,0,shopify,50,continue,manual,53.99,63.99,TRUE,FALSE,,https://cdn.shopify.com/s/files/1/0671/5768/8628/files/Abstract_Wave_for_Room_1800x1800_8de0ddb2-28c6-4564-a034-9cabae203e09.jpg?v=1666840410,2,,,,,,,,,,,,,,,,,,,kg,,,,,
2017 Pro Bowl NFC David Johnson Blue Game Jersey,,,,,,,,,M,,Black,,,ppro-id-33711-3,0,shopify,50,continue,manual,53.99,63.99,TRUE,FALSE,,https://cdn.shopify.com/s/files/1/0671/5768/8628/files/Abstract_Wave_1800x1800_31c79753-f865-4b92-950d-3df431446a71.jpg?v=1666840452,3,,,,,,,,,,,,,,,,,,,kg,,,,,
2017 Pro Bowl NFC David Johnson Blue Game Jersey,,,,,,,,,M,,Blue,,,ppro-id-33711-4,0,shopify,50,continue,manual,53.99,63.99,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,,,kg,,,,,
2017 Pro Bowl NFC David Johnson Blue Game Jersey,,,,,,,,,L,,Black,,,ppro-id-33711-5,0,shopify,50,continue,manual,53.99,63.99,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,,,kg,,,,,
2017 Pro Bowl NFC David Johnson Blue Game Jersey,,,,,,,,,L,,Blue,,,ppro-id-33711-6,0,shopify,50,continue,manual,53.99,63.99,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,,,kg,,,,,
2017 Pro Bowl NFC David Johnson Blue Game Jersey,,,,,,,,,XL,,Black,,,ppro-id-33711-7,0,shopify,50,continue,manual,53.99,63.99,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,,,kg,,,,,
2017 Pro Bowl NFC David Johnson Blue Game Jersey,,,,,,,,,XL,,Blue,,,ppro-id-33711-8,0,shopify,50,continue,manual,53.99,63.99,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,,,kg,,,,,
2017 Pro Bowl NFC David Johnson Blue Game Jersey,,,,,,,,,XXL,,Black,,,ppro-id-33711-9,0,shopify,50,continue,manual,53.99,63.99,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,,,kg,,,,,
2017 Pro Bowl NFC David Johnson Blue Game Jersey,,,,,,,,,XXL,,Blue,,,ppro-id-33711-10,0,shopify,50,continue,manual,53.99,63.99,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,,,kg,,,,,
2017 Pro Bowl NFC David Johnson Blue Game Jersey,,,,,,,,,3XL,,Black,,,ppro-id-33711-11,0,shopify,50,continue,manual,53.99,63.99,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,,,kg,,,,,
2017 Pro Bowl NFC David Johnson Blue Game Jersey,,,,,,,,,3XL,,Blue,,,ppro-id-33711-12,0,shopify,50,continue,manual,53.99,63.99,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,,,kg,,,,,
