SKU,Handle,Name,Description,Vendor,Type,Tags,Stock,Sale price,Regular price,Images,Attribute 1 name,Attribute 1 value(s),Attribute 2 name,Attribute 2 value(s)
stamp1000,2016 US Pets Booklet,2016 US Pets Booklet,"<p>The United States Postal Service will issue its set of 20 nondenominated (47¢) forever Pets stamps on Aug. 2, with a first-day ceremony in Las Vegas, Nev.</p><p>The 20 stamps are being issued together in a double-sided pane of 20, described as a booklet by the Postal Service. Each stamp shows a photograph of one pet: puppy, betta fish, iguana, hamster, goldfish, kitten, rabbit, tortoise, guinea pig, parrot, corn snake, mouse, hermit crab, chinchilla, gerbil, gecko, cat, horse, parakeet, and dog.</p><p>The Pets Stamps designs use existing photographs by Eric Isselee of the different animals, each with a white background.</p><p>Each design also includes a word or two to describe the pet group the pictured animal represents (such as, “guinea pigs”), along with “forever usa” and the word “pets.”</p><p>The designer for this issue is USPS art director Derry Noyes, who was inspired by her lifelong love of animals, according to the Postal Service.</p><p>“The goal was to capture the essence of each animal,” she said. “There’s no need for special effects. The animals speak for themselves. I love the variety of shapes, colors, textures, and facial expressions.”</p><p>The Postal Service ordered a large initial print run of 400 million Pets stamps, a sign, perhaps, that USPS officials expect the Pets stamps to be popular with the stamp-buying public.</p><p>That earlier set was so popular that the initial print run of 300 stamps was bolstered by a second printing of 91.4 million stamps announced six months after the stamps were first issued.</p><p>The new Pets stamps feature a well-rounded selection of domesticated animals, including two cats and two dogs, two birds, two fish, four reptiles, six rodents, a horse and a hermit crab.</p><p>Animals have always been popular with topical stamp collectors, and dogs, cats and birds are among the favorite subjects. Pets are also popular with the American public, according to the Postal Service, with more than half of U.S. homes having at least one pet.</p><p>“The most common pets are dogs and cats,” the Postal Service noted. “These furry, four-legged family members have long provided love, friendship, and sometimes protection for their owners.”</p><p>The digital color first-day postmark for the Pets issue features silhouette images of six different animals, each in a bold, solid color: horse, goldfish, snake, dog, cat, and parrot. This postmark is used on certain uncacheted first-day covers sold in a set of 20 by the Postal Service.</p><p>Press sheets consisting of 160 stamps (eight panes of 20) are being offered as well. The total number of press sheets made available to collectors was not announced.</p><h2>Shipping Info</h2><p>The Cheap Stamp Shop® ships all in-stock orders with USPS Tracking® service. Please allow 4-7 business days for in-stock items to be shipped with Default Shipping or 1-2 business days for in-stock orders to be shipped with Priority Mail Express® service.</p><p>Cheap Stamp Shop® products are all new, and products are rigorously inspected before being shipped. If there is any damage during the shipping process, please contact us promptly for replacement.</p>",cheapstampshop,Stamps,"2016, All Stamps, Animals Stamps, Booklet, Format Stamps",144,27.5,,"https://usforeverstampshop.com/wp-content/uploads/2022/09/60-2016宠物.jpg, https://usforeverstampshop.com/wp-content/uploads/2022/09/Pets-Celebrate-Animals-Stamps.jpg",Specification,"5 sheets of 100 stamps, 10 sheets of 200 stamps, 25 sheets of 500 stamps",,
stamp1001,2016 US Patriotic spiral Booklet,2016 US Patriotic spiral Booklet,"<p>WASHINGTON — The U.S. Postal Service will issue the Patriotic Spiral First-Class Forever stamps in booklets of 10 for consumers and self-adhesive coils of 10,000 for businesses. Both formats will be available on August 19 nationwide, and will be issued formally that day in Falls Church, VA, in booklet format, and in Kansas City, MO, in large coil format.</p><p>On August 19, 2016, the U.S. Postal Service issued the Patriotic Spiral stamps in Falls Church, VA. This festive and energetic stamp design features 50 blue and red stars spiraling around a central gold star on a white background.</p><p>The idea for the design was to illustrate a community of stars protectively orbiting a central star that in an abstract sense stands for our nation’s steadfast idealism and hope for a more perfect union.</p><p>Antonio Alcalá art directed the project with stamp design and typography by Polygraph, a Washington, D.C. design firm. This listing is for a cut strip of 50 stamps, cut from a larger roll.</p><p>Throughout its history, liberty and freedom have been the defining principles of the United States of America. The stars of our nation’s flag represent fifty separate states united by these principles and the patriots who fought for them.</p><p>The Patriotic Spiral forever stamp was announced Aug. 3. It is being issued Aug. 19 in two formats: booklets of 10 for consumers and in coils of 10,000 for businesses. Both the booklet and the coil stamps are self-adhesives.</p><p>The booklet format is being issued in Falls Church, Va., and the coil stamps in Kansas City, Mo. Americover is taking place Aug. 19-21 in Falls Church.</p><p>Collectors requesting first-day cancels are encouraged to purchase their own stamps and affix them to envelopes. The first-day cover envelopes should be addressed for return (a removable label may be used), and mailed in a larger envelope.</p><p>The Patriotic Spiral stamps will always be equal in value to the current First-Class Mail 1-ounce price.</p><h2>Shipping Info</h2><p>The Cheap Stamp Shop® ships all in-stock orders with USPS Tracking® service. Please allow 4-7 business days for in-stock items to be shipped with Default Shipping or 1-2 business days for in-stock orders to be shipped with Priority Mail Express® service.</p><p>Cheap Stamp Shop® products are all new, and products are rigorously inspected before being shipped. If there is any damage during the shipping process, please contact us promptly for replacement.</p>",cheapstampshop,Stamps,"2016, All Stamps, Booklet, Format Stamps, Patriotic Stamps",126,27.5,,"https://usforeverstampshop.com/wp-content/uploads/2022/09/Patriotic-spiral-3-1000x1000w.jpg, https://usforeverstampshop.com/wp-content/uploads/2022/09/Patriotic-spiral-4-1000x1000w.jpg, https://usforeverstampshop.com/wp-content/uploads/2022/09/81YeSQYJYKL.jpg",Specification,"10 sheets of 100 stamps, 20 sheets of 200 stamps, 50 sheets of 500 stamps",,
stamp1002,2017 Have a ball Sheet,2017 Have a ball Sheet,"<p>HARTFORD, WI — The U.S. Postal Service dedicated the first-of-its-kind stamps with the look — and feel — of balls used in eight popular sports. Available nationwide today, the Have a Ball stamps depict balls used in baseball, basketball, football, golf, kickball, soccer, tennis and volleyball.</p><p>A special coating applied to selected areas of the stamps during the printing process gives them a texture that mimics the feel of:</p><p>>a baseball’s stitching;<br />>a golf ball’s dimples;<br />>a tennis ball’s seams;<br />>a soccer ball or volleyball’s textured panels; and the different raised patterns of a football, basketball and kickball.</p><p>The first-day-of-issuance ceremony at the 117th U.S. Open Championship in Hartford, WI, was part of the U.S. Golf Association’s Flag Day celebration. The Postal Service was part of this special tribute to those who serve or have served in the military via stamps. Nearly 1 of 7 postal employees served in the military.</p><p>“Every day across the United States, people of all ages gather on fields, diamonds, courts, and golf courses to engage in friendly and fun competition,” said U.S. Postal Service Senior Vice President, Sales and Customer Relations Cliff Rucker. “We are honored to celebrate our nation’s passion for athletics with the Forever Have a Ball Stamps. It is my hope that whenever you affix these colorful new stamps to letters, they serve as a reminder of the connection between sports and culture.”</p><p>“We can’t think of a more fitting place to celebrate golf as one of America’s favorite recreational sports than the U.S. Open Championship,” said Murphy. “This innovative stamps collection provides a lasting symbol of how sports — like golf — can connect people and communities, create fun opportunities to promote an active lifestyle, and bring out the fan in all of us. We are thrilled to reveal it to our fans today, in our country’s heartland.”</p><p>These round Forever stamps are available in panes of 16 that include two stamps of each design. Stamps artist Daniel Nyari of Long Island City, NY, and stamps designer Mike Ryan of Charlottesville, VA, worked with Art Director Greg Breeding of Charlottesville, VA to create the stamps images.</p><p>The Have a Ball stamps are being issued as Forever stamps which are always equal in value to the current First-Class Mail service 1-ounce price.</p><h2>Shipping Info</h2><p>The Cheap Stamp Shop® ships all in-stock orders with USPS Tracking® service. Please allow 4-7 business days for in-stock items to be shipped with Default Shipping or 1-2 business days for in-stock orders to be shipped with Priority Mail Express® service.</p><p>Cheap Stamp Shop® products are all new, and products are rigorously inspected before being shipped. If there is any damage during the shipping process, please contact us promptly for replacement.</p>",cheapstampshop,Stamps,"2017, All Stamps, Animals Stamps, Format Stamps, Sheet",101,27.5,,"https://usforeverstampshop.com/wp-content/uploads/2022/09/Have-a-ball-1-1000x1000h.jpg, https://usforeverstampshop.com/wp-content/uploads/2022/09/516PQxO1hFL.jpg, https://usforeverstampshop.com/wp-content/uploads/2022/09/516bZwcBtcL.jpg, https://usforeverstampshop.com/wp-content/uploads/2022/09/51ymWMT43WL.jpg, https://usforeverstampshop.com/wp-content/uploads/2022/09/51uRPQeDcmL.jpg, https://usforeverstampshop.com/wp-content/uploads/2022/09/51CkklWeaWL.jpg, https://usforeverstampshop.com/wp-content/uploads/2022/09/51BtD8U9zaL.jpg, https://usforeverstampshop.com/wp-content/uploads/2022/09/31-XaFl6pkL.jpg, https://usforeverstampshop.com/wp-content/uploads/2022/09/Have-a-ball-3-1000x1000-1.jpg",Specification,"100 pieces, 200 pieces, 500 pieces",,
stamp1003,2018 US Wedding Love Flourishes Sheet,2018 US Wedding Love Flourishes Sheet,"<p>Love Flourishes, the latest stamp in a series that goes back to 1973, features a fanciful garden of colorful flowers surrounding the word “Love” in cursive script. The First Day of Issue site is Creativation, the annual Craft & Hobby Association convention that brings together the global creative products community from designers to manufacturers, some of whom may want to incorporate postage stamps in their designs. The U.S. Postal Service today celebrates love of all kinds with the dedication of the Love Flourishes stamps during a first-day-of-issue ceremony at the CREATIVATION conference held at the Phoenix Convention Center.</p><p>Love Flourishes is the latest stamp in the popular Love series, which began 45 years ago. The Love Flourishes Stamps art features a fanciful garden of colorful flowers surrounding the word “Love” written in cursive script. Hand-painted by artist Anna Bond, the flowers on the stamp include stylized roses, peonies, and dahlias in pink, coral, and yellow, with pale blue-green berries and gold fronds and leaves.</p><p>Art director Greg Breeding designed the stamps with Bond’s original art.</p><p>“When it comes to expressing appreciation for the people we love most, nothing matches the mail,” said Maura McDevitt, vice president, controller, U.S. Postal Service, who dedicated the stamps. “We hope the Love Flourishes stamps will help you send cards and letters to those you care about with a special touch of affection, and serve as a reminder that no matter what the season or reason, flowers, especially on a stamp, are the perfect way to send love.”</p><p>Brand new five sheets of 20 postage stamps (100 stamps total).<br />The stamps art features a fanciful garden of colorful flowers surrounding the word “Love” written in cursive script.<br />Self-stick adhesive stamps.<br />Issued in 2018 but valid Forever at the first class, one ounce mail rate.<br />Perfect for wedding and holiday mailings, letters, envelopes, collectibles and more.</p><h2>Shipping Info</h2><p>The Cheap Stamp Shop® ships all in-stock orders with USPS Tracking® service. Please allow 4-7 business days for in-stock items to be shipped with Default Shipping or 1-2 business days for in-stock orders to be shipped with Priority Mail Express® service.</p><p>Cheap Stamp Shop® products are all new, and products are rigorously inspected before being shipped. If there is any damage during the shipping process, please contact us promptly for replacement.</p>",cheapstampshop,Stamps,"2018, All Stamps, Flowers Stamps, Format Stamps, Landscapes Stamps, Love\/Wedding Stamps, Sheet",149,27.5,,"https://usforeverstampshop.com/wp-content/uploads/2022/09/19-2018花之恋.jpg, https://usforeverstampshop.com/wp-content/uploads/2022/09/19-2018花之恋-1.jpg, https://usforeverstampshop.com/wp-content/uploads/2022/09/Love-Flourishes-Forever-Stamp.jpg",Specification,"5 sheets of 100 stamps, 10 sheets of 200 stamps, 25 sheets of 500 stamps",,
stamp1004,2018 US Global Poinsettia Booklet,2018 US Global Poinsettia Booklet,"<p>Celebrate the holidays with <b><i>Poinsettia</i></b>, a new Global Forever® stamp from the U.S. Postal Service®.</p><p>This Global Forever stamp can be used to mail a one-ounce letter to any country to which First-Class Mail International® service is available. As with all Global Forever stamps, this stamp will have a postage value equivalent to the price of the single-piece First-Class Mail International first-ounce machineable letter in effect at the time of use.</p><p>The stamp art features a photo of a poinsettia. Taken from above, the photo captures the beauty of the green leaves, the red bracts, and the yellow flowers in the center of the plant.</p><p>The poinsettia—Euphorbia pulcherrima—is a small tropical tree that can reach heights of more than 10 feet in the wild in its native Mexico. We tend to think of the beautifully colored “petals” as the flowers, but in fact, those are the modified leaves called bracts. The poinsettia’s flower is the cluster of small, yellow, cup-shaped structures in the center of the leaves.</p><p>Revered by the Aztec, the poinsettia was considered a symbol of purity. They used the bracts to make dye and cosmetics and created medicine for fever from the plant’s sap. During the 17th century, European priests observed that the plant bloomed during the winter months and incorporated it into festivals to celebrate the Nativity.</p><p>The plant was named in honor of Dr. Joel Roberts Poinsett, the first American ambassador to Mexico, who sent cuttings of the exotic plant back to the U.S. in the early years of the 19th century. National Poinsettia Day is observed on December 12, the day that Dr. Poinsett died.</p><p>Introduced to the American gardening public in 1829 at the first exhibition of the Pennsylvania Horticultural Society—now known as the Philadelphia Flower Show—the vivid red plant soon became associated with the holidays in the United States. Growers in California are credited with the 20th-century explosion in popularity and availability of the poinsettia, which continues today.</p><p>The poinsettia has more than 100 varieties, though red is still America’s favorite. Modern plants are bred in many other hues including pink, apricot, yellow, cream, and white. In addition, there are unusual varieties that blend several colors in speckled or marbled patterns.</p><p>Poinsettias are now as much a part of the holidays as evergreens and mistletoe; tens of millions of plants are sold during the season.</p><p>The art director was William J. Gicker. Greg Breeding designed the stamp with an existing photograph by Betsy Pettet.</p><p>The new Global Forever stamps are being issued in self-adhesive panes of 10.</p><p>Made in the USA.</p><h2>Shipping Info</h2><p>The Cheap Stamp Shop® ships all in-stock orders with USPS Tracking® service. Please allow 4-7 business days for in-stock items to be shipped with Default Shipping or 1-2 business days for in-stock orders to be shipped with Priority Mail Express® service.</p><p>Cheap Stamp Shop® products are all new, and products are rigorously inspected before being shipped. If there is any damage during the shipping process, please contact us promptly for replacement.</p>",cheapstampshop,Stamps,"2018, All Stamps, Booklet, Flowers Stamps, Format Stamps",128,27.5,,"https://usforeverstampshop.com/wp-content/uploads/2022/09/565904-T0.jpg, https://usforeverstampshop.com/wp-content/uploads/2022/09/565904-Z0.jpg, https://usforeverstampshop.com/wp-content/uploads/2022/09/565904-Z1.jpg, https://usforeverstampshop.com/wp-content/uploads/2022/09/565904-Z2.jpg",Specification,"10 sheets of 100 stamps, 20 sheets of 200 stamps, 50 sheets of 500 stamps",,
stamp1005,U.S. 2018 Frozen Treats Booklet,U.S. 2018 Frozen Treats Booklet,"<p>WASHINGTON — The U.S. Postal Service’s first scratch-and-sniff stamps will add the sweet scent of summer to letters of love, friendship, party invitations and other mailings when the Postal Service introduces the Frozen Treats Forever stamps June 20 in Austin, TX.</p><p>The United States Postal Service will issue its previously announced set of 10 Frozen Treats forever stamps June 20. The nondenominated (50¢) stamps will be sold in a double-sided pane of 20, which the Postal Service describes as a booklet.</p><p>A first-day ceremony will take place at 6 p.m. in the Event Courtyard at the Thinkery Children’s Museum, 1830 Simond Ave., in Austin, Texas. The ceremony is free and open to the public. Parking is available at nearby Alamo Parking, according to the Postal Service, and tickets will be validated at the museum admission entrance.</p><p>The Frozen Treats stamps designs each show two “frosty, colorful, icy pops on a stick,” set against a white background. The watercolor illustrations are by California artist Margaret Berg, a native of South Africa who studied at Otis College of Art and Design in Los Angeles.</p><p>“Modern frozen treats are available in many varieties,” the Postal Service notes. “Ice pops are made by large manufacturers, home cooks, and artisanal shops. In recent years, frozen treats containing fresh fruit such as kiwi, watermelon, blueberries, oranges, and strawberries have become more common. In addition, flavors such as chocolate, root beer, and cola are also popular. Some frozen treats even have two sticks, making them perfect for sharing.”</p><p>Other countries have issued scented and scratch-and-sniff stamps before, but the 2018 Frozen Treats were the first US stamps to take advantage of this technology. According to the USPS, “The aroma of the Frozen Treats Forever stamps will remind customers of the sweet scent of summer when mailing and receiving letters of love, friendship, party invitations, and other correspondence.” The stamps featured watercolor illustrations by Margaret Berg of California.</p><p>Have you ever gone to the Post Office and asked “What cute stamps do you have?” If the answer is yes, this news is for you. The United States Postal Service introduced these whimsical popsicle stamps, its first-ever scratch-and-sniff collection, earlier this summer and they’re still available! Call Frozen Treats, these “forever” stamps feature the artwork of Magrikie, aka Margaret Berg. Stamp lovers, don’t delay.</p><p>Frozen Treats are First-Class Mail Forever stamps that will always be equal in value to the current First-Class Mail 1-ounce price.</p><h2>Shipping Info</h2><p>The Cheap Stamp Shop® ships all in-stock orders with USPS Tracking® service. Please allow 4-7 business days for in-stock items to be shipped with Default Shipping or 1-2 business days for in-stock orders to be shipped with Priority Mail Express® service.</p><p>Cheap Stamp Shop® products are all new, and products are rigorously inspected before being shipped. If there is any damage during the shipping process, please contact us promptly for replacement.</p>",cheapstampshop,Stamps,"2018, All Stamps, Booklet, Format Stamps, Holiday Stamps, Wedding",128,27.5,,"https://usforeverstampshop.com/wp-content/uploads/2022/09/20-2018雪条.jpg, https://usforeverstampshop.com/wp-content/uploads/2022/09/20-2018雪条-1.jpg, https://usforeverstampshop.com/wp-content/uploads/2022/09/Frozen-Treats-Stamps.jpg",Specification,"5 sheets of 100 stamps, 10 sheets of 200 stamps, 25 sheets of 500 stamps",,
stamp1006,2019 US Winter Berries Booklet,2019 US Winter Berries Booklet,"<p>TULSA — With the release of the Winter Berries Stamps, the U.S. Postal Service celebrates four of winter’s small yet vibrant offerings: the winterberry (Ilex verticillata), the juniper berry (Juniperus communis), the beautyberry (Callicarpa americana), and the soapberry (Sapindus saponaria). The stamps were issued at a First Day of Issue stamp dedication ceremony held in the A.R. & Marylouise Tandy Floral Terraces at the Tulsa Botanic Garden today.</p><p>“I can’t think of a better place for the United States Postal Service to unveil a collection of stamps to celebrate one of nature’s unique and colorful wonderments,” said Steven Phelps, acting vice president, Pricing and Costing, U.S. Postal Service. “Although much of nature’s bold imagery gets muted by winter’s cold temperatures and snowfall, the four colorful berries that we are highlighting on our new stamps are sure to help brighten the season.”</p><p>The Winter Berries Stamps art features highly detailed botanical portraits of each plant that highlight the bold colors and rich textures of their berries. Artist Steve Buchanan worked with Art Director Antonio Alcalá to create these four new stamps.</p><p>Barbara Sturdivant, chair, Tulsa Botanic Garden Board of Directors, and Todd Lasseigne, president and CEO, Tulsa Botanic Garden, joined Phelps in the ceremony, along with Raymond Red Corn, assistant principal chief, Osage Nation.</p><p>The Winter Berries booklet of 20 stamps are being issued as Forever stamps, meaning they will always be equal in value to the current First-Class Mail 1-ounce price.</p><h3>Stamps Pattern Background</h3><p>Stamps Pattern: The Winterberry. Seen throughout the eastern United States, the common winterberry sports dense clumps of small red berries on its bare branches in the winter. A variety of deciduous holly, this attractive shrub loses all of its leaves after the first frost. The winterberry can grow up to 15 feet tall and is a popular addition to yards and gardens. In the winter, its bright fruit becomes a valuable food source for many small mammals and more than 45 species of birds.</p><p>Stamps Pattern: The Juniper Berry. Native to most of the United States and Canada, the common juniper produces seeds that are not quite what they seem. The blackish-blue berries that adorn the juniper’s evergreen branches are actually small conifer cones. With tightly merged scales and a fleshy appearance, the seeds resemble, and are commonly referred to as, berries. Their bold color and distinctive, astringent flavor make them irresistible for a variety of birds and even some humans.</p><p>Stamps Pattern: The Beautyberry. Perhaps the most aptly named of nature’s fruiting plants, the American beautyberry is a vivid sight throughout the southeastern United States. In late summer, small purple berries begin to grow in rounded clusters along the shrub’s drooping branches. Popular with many varieties of birds, the berries get snatched up in autumn with some persisting through winter. A native perennial, the beautyberry grows well in lush environments and can reach a height of eight feet. Its attractive berries and vigor make it a favorite for many gardeners.</p><p>Stamps Pattern: The Soapberry. Named for the sudsy froth produced by a compound found in its fruit, the soapberry tree can grow as tall as 50 feet. Sometimes called western or wingleaf soapberry, this deciduous tree bears golden yellow berries in the fall that remain throughout the winter. Though poisonous to consume, the berries have been used to make soap in various tropical regions around the world. In the United States, soapberry grows across the southern half of the country, from Arizona to South Carolina.</p><h2>Shipping Info</h2><p>The Cheap Stamp Shop® ships all in-stock orders with USPS Tracking® service. Please allow 4-7 business days for in-stock items to be shipped with Default Shipping or 1-2 business days for in-stock orders to be shipped with Priority Mail Express® service.</p><p>Cheap Stamp Shop® products are all new, and products are rigorously inspected before being shipped. If there is any damage during the shipping process, please contact us promptly for replacement.</p>",cheapstampshop,Stamps,"2019, All Stamps, Booklet, Format Stamps, Fruits Stamps, Landscapes Stamps",191,27.5,,"https://usforeverstampshop.com/wp-content/uploads/2022/09/61-2019冬天果实.jpg, https://usforeverstampshop.com/wp-content/uploads/2022/09/61-2019冬天果实-1.jpg, https://usforeverstampshop.com/wp-content/uploads/2022/09/61-2019冬天果实-2.jpg",Specification,"5 sheets of 100 stamps, 10 sheets of 200 stamps, 25 sheets of 500 stamps",,
stamp1007,2019 Holiday Wreaths Forever US First Class Postage Stamps Booklet,2019 Holiday Wreaths Forever US First Class Postage Stamps Booklet,"<p>WASHINGTON — The U.S. Postal Service announced today that this year’s contemporary holiday stamps will highlight wreaths to welcome the season. The Holiday Wreaths Forever stamps will be issued later this fall, providing plenty of time for mailing greeting cards. Details will be announced soon. These stamps will be among several holiday-themed stamps that will be available this year.</p><p>Displayed on a door, in a window or over a mantel, wreaths are symbols of joy and celebration, inviting the spirit of the season into the home.</p><p>Inspired by the holiday decorating traditions of early America, the four wreaths featured on these stamps are classic yet contemporary. Their designs create feelings of warmth and welcome. Wreaths are often made from materials easily found during the winter months, including pinecones, dried flowers and berries.</p><p>Here’s more information about stamps pattern of each wreath:</p><p>(top left) The ribbon leaf wreath is inspired by French floral art. Aspidistra leaves, folded and manipulated to resemble ribbons, create a long-lasting wreath.<br />(top right) Gilded pinecones and magnolia pods grace the wreath trimmed with cranberry red ribbon.<br />(lower left) Red and gold ribbon adorns the wreath made from gilded dried hydrangea, eucalyptus and nandina foliage, red berries, and small ornaments.<br />(lower right) The woodland bush ivy and red winterberry wreath presents a classic red and green palette.<br />Add these elegant stamps to your cards and letters to share holiday greetings with family and friends.</p><p>Antonio Alcalá served as the art director for these stamps and designed them with floral artist Laura Dowling. Dowling designed the wreaths for the stamps, which were photographed by Kevin Allen.</p><p>It is the first official mention of new U.S. holiday stamps for 2019. The stamps will be issued in double-sided panes of 20, which the Postal Service identifies as a booklet.</p><p>These Forever stamps will always be equal in value to the current First-Class Mail 1-ounce price.</p><h2>Shipping Info</h2><p>The Cheap Stamp Shop® ships all in-stock orders with USPS Tracking® service. Please allow 4-7 business days for in-stock items to be shipped with Default Shipping or 1-2 business days for in-stock orders to be shipped with Priority Mail Express® service.</p><p>Cheap Stamp Shop® products are all new, and products are rigorously inspected before being shipped. If there is any damage during the shipping process, please contact us promptly for replacement.</p>",cheapstampshop,Stamps,"2019, All Stamps, Booklet, Format Stamps, Holiday Stamps",155,27.5,,"https://usforeverstampshop.com/wp-content/uploads/2022/09/15-2019花圈.jpg, https://usforeverstampshop.com/wp-content/uploads/2022/09/15-2019花圈-1.jpg, https://usforeverstampshop.com/wp-content/uploads/2022/09/15-2019花圈-2.jpg",Specification,"5 sheets of 100 stamps, 10 sheets of 200 stamps, 25 sheets of 500 stamps",,
stamp1008,2019 US Heart Blossom Wedding Sheet,2019 US Heart Blossom Wedding Sheet,"<p>SAN JUAN, Puerto Rico — The U.S. Postal Service celebrates the joys of love with the latest stamp in the popular Love series, the Forever Hearts Blossom Stamps.</p><p>“The Love stamp is traditionally released in time for Valentine’s Day, but it can be used to deliver love for any reason in any season,” said U.S. Postal Service Vice President of Network Operations Robert Cintron during the stamp’s first-day-of-issue dedication ceremony today at the Puerto Rico Museum of Contemporary Art. “In the coming months, the Hearts Blossom stamp will be used to send expressions of love in the mail. And just like true love, this stamp is forever.”</p><p>Cintron was joined by Erica-Marie Sanchez, actress, “The Inspectors,” and Edgardo Miranda-Rodriguez, graphic novelist, “La Borinqueña.”</p><p>The Hearts Blossom Stamps shows 12 colorful hearts in a palette — of red, purple, orange and pink — intended to create a happy and positive feeling. Art director Antonio Alcalá designed the stamp.</p><p>There are several theories how the familiar heart-shaped symbol came to be associated with the human heart. However, the symbol’s connection to love is very clear, as the heart is where people believe feelings reside. Today, wherever it appears — as an artistic motif, in religious symbolism, or as an expression of affection or support — a heart is instantly recognizable as a representation of love, whether it be romantic attachment or affection for people, places, causes or ideas.</p><p>The Postal Service has captured the essence of love on stamp artwork ever since issuing the first Love series on stamps in 1973.</p><p>Hearts blossom is the latest stamp in the Love series from the U.S. Postal Service. The stamp art features the word love in cursive script below 12 colorful hearts meant to visually express love’s joyful, bountiful nature. The color palette red, purple, orange and pink is intended to create a happy and positive feeling.</p><p>100 permanent stamps, 5 sets, each set of 20 (12 on one side, 8 on the other).<br />Forever stamp will always be valid for first class postage even if rates change. Valid as US Postage.<br />Easy to use Peel-n-Stick – Self Adhesive no Licking. For postcards, letters, mailing envelopes or collecting but for collectibles, birthday, teachers, occasions, weddings, parties, showers, celebrations and more.</p><p>Forever stamp will always be equal in value to the current First-Class Mail one-ounce price.</p><h2>Shipping Info</h2><p>The Cheap Stamp Shop® ships all in-stock orders with USPS Tracking® service. Please allow 4-7 business days for in-stock items to be shipped with Default Shipping or 1-2 business days for in-stock orders to be shipped with Priority Mail Express® service.</p><p>Cheap Stamp Shop® products are all new, and products are rigorously inspected before being shipped. If there is any damage during the shipping process, please contact us promptly for replacement.</p>",cheapstampshop,Stamps,"2019, All Stamps, Format Stamps, Patriotic Stamps, Sheet",111,27.5,,"https://usforeverstampshop.com/wp-content/uploads/2022/09/11-2019花心.jpg, https://usforeverstampshop.com/wp-content/uploads/2022/09/11-2019花心-1.jpg, https://usforeverstampshop.com/wp-content/uploads/2022/09/Hearts-Blossom-Love-Forever-Stamps-Wedding-Celebration-Graduation-Patriotic.jpg",Specification,"5 sheets of 100 stamps, 10 sheets of 200 stamps, 25 sheets of 500 stamps",,
stamp1009,2019 USA Star Ribbon Sheet,2019 USA Star Ribbon Sheet,"<p>On March 22, a new nondenominated (55¢) forever Star Ribbon stamps will be issued in Oakbrook Terrace, Ill., a western suburb of Chicago. The digitally created stamp design shows a red, white and blue ribbon crisply folded into a star shape. The white space remaining in the center also creates a star, amplifying the patriotic effect. The white space in the middle of the ribbon creates a second smaller star. The words “Forever” and “USA” appear below the star.</p><p>Patriotic symbols were used as design elements on United States postage stamps as far back as 1869, when the 10¢ yellow stamp issued that year showed an eagle with spreading wings perched upon a striped shield.</p><p>“The tricolored ribbon, folded into a patriotic symbol, is intended to evoke the connectedness of the American people,” according to the U.S. Postal Service.</p><p>The self-adhesive stamp will be issued in panes of 20, coils of 3,000 and coils of 10,000.</p><p>Technical details for the coils have not been released, but if the same printer created both coil sizes, it is likely the coil stamps will be the same regardless of the source. If so, two major varieties should result from this issue: one pane stamp and one coil variety.</p><p>The stamp design and illustration were created by Aaron Draplin, working with USPS art director Greg Breeding.</p><p>The stamps in panes of 20 were offset-printed by Banknote Corporation of America and will include microprinting, according to USPS technical details.</p><p>Asked why the stamp was being issued in a pane of 20 — an unusual format for a forever definitive stamp — USPS spokesman Roy Betts told Linn’s Stamp News, “There was a primary need for patriotic large coils, but because we wanted the general buying public to also have access to these stamps we decided to offer it in panes of 20 as well.”</p><p>The stamp pane can be split to allow single sales, Betts added.</p><p>Along with various stamps featuring the American flag in many different styles, star-shaped designs in red, white and blue have been featured on multiple U.S. postage stamps and postal stationery items over the years.</p><p>A pictorial first-day cancel in black has been prepared for the new stamp. A star design on the postmark complements the stamp design.</p><p>These Star Ribbon Stamps will always be equal in value to the current domestic 1 ounce letter postage price.</p><h2>Shipping Info</h2><p>The Cheap Stamp Shop® ships all in-stock orders with USPS Tracking® service. Please allow 4-7 business days for in-stock items to be shipped with Default Shipping or 1-2 business days for in-stock orders to be shipped with Priority Mail Express® service.</p><p>Cheap Stamp Shop® products are all new, and products are rigorously inspected before being shipped. If there is any damage during the shipping process, please contact us promptly for replacement.</p>",cheapstampshop,Stamps,"2019, All Stamps, Format Stamps, Patriotic Stamps, Sheet",168,27.5,,"https://usforeverstampshop.com/wp-content/uploads/2022/09/09-2019五角星.jpg, https://usforeverstampshop.com/wp-content/uploads/2022/09/09-2019五角星-1.jpg, https://usforeverstampshop.com/wp-content/uploads/2022/09/Star-Ribbon-Stamp-–-Celebration-Patriotic.jpg",Specification,"5 sheets of 100 stamps, 10 sheets of 200 stamps, 25 sheets of 500 stamps",,
